id,title,genre,platforms,difficulty,playtime_hours,graphics_style,target_audience,rating,year,price_eur,multiplayer,story_mode,game_type,description,emoji
1,Elden Ring,Action-RPG,PS5|Xbox Series|PC,Difficile,60-100,3D Réaliste,Adultes,9.8,2022,59.99,Non,Oui,Soulslike,Une vaste terre de l'entre-deux attend votre exploration dans ce chef-d'œuvre de FromSoftware.,⚔️
2,Cyberpunk 2077,RPG Futuriste,PS5|Xbox Series|PC,Moyen,80-150,3D Réaliste,Adultes,8.4,2020,59.99,Non,Oui,Monde Ouvert,Plongez dans la mégacité de Night City avec un gameplay immersif et des choix impactants.,🌆
3,Hollow Knight,Metroidvania,PC|PS4|Xbox|Nintendo Switch,Moyen,20-40,2D Pixelart,Ados,9.1,2017,14.99,Non,Oui,Exploration,Explorez un vaste royaume souterrain d'insectes dans cet incroyable jeu indépendant.,🦋
4,Baldur's Gate 3,RPG,PC|PS5|Xbox Series,Moyen,100-200,3D Réaliste,Adultes,9.6,2023,59.99,Non,Oui,Aventure Tactique,L'adaptation ultime du jeu de rôle tabletop avec des milliers de possibilités.,🧙
5,Alan Wake 2,Survival Horror,PS5|Xbox Series|PC,Moyen,30-50,3D Réaliste,Adultes,8.8,2023,59.99,Non,Oui,Thriller Psychologique,Combattez les créatures de l'obscurité dans cette suite horrifiante et captivante.,🔦
6,Spider-Man 2,Action Aventure,PS5|Xbox Series,Facile,30-50,3D Réaliste,Ados,9.0,2023,59.99,Non,Oui,Monde Ouvert,Enfilez le costume Spider-Man et explorez New York avec des pouvoirs surhumains.,🕷️
7,Minecraft,Sandbox,PC|PS4|Xbox|Nintendo Switch|Mobile,Facile,Illimité,3D Pixelart,Enfants,9.2,2011,26.99,Oui,Non,Créatif,Construisez et explorez des mondes infinis avec des amis de partout.,🧱
8,Stardew Valley,Simulation de Ferme,PC|PS4|Xbox|Nintendo Switch|Mobile,Facile,50-100,2D Pixel Art,Tous,9.3,2016,14,99,Non,Oui,Relaxant,Quittez la ville pour cultiver votre propre ferme avec love et patience.,🌾
9,The Legend of Zelda: Breath of the Wild,Action Aventure,Nintendo Switch,Moyen,50-80,3D Stylisé,Tous,9.9,2017,69.99,Non,Oui,Exploration Monde Ouvert,L'aventure ultime de Link dans un monde ouvert révolutionnaire.,⚔️
10,Fortnite,Battle Royale,PC|PS4|Xbox|Nintendo Switch|Mobile,Moyen,0-2 par partie,3D Stylisé,Ados,8.2,2018,Gratuit,Oui,Non,Compétitif,100 joueurs s'affrontent sur une île dans ce battle royale emblématique.,🎮
11,Hades,Action Roguelike,PC|PS4|Xbox|Nintendo Switch,Difficile,20-40,2D Stylisé,Ados,9.4,2020,24.99,Non,Oui,Roguelike,Échappez de l'Hadès dans ce jeu roguelike épique avec un storytelling remarquable.,🔥
12,Tetris Effect,Puzzle,PC|PS4|Xbox|Nintendo Switch|Mobile,Facile,1-3 par session,3D Abstrait,Tous,9.0,2018,29.99,Oui (local),Non,Puzzle,L'expérience Tetris ultime avec une dimension musicale et visuelle hypnotisante.,💎
13,Outer Wilds,Aventure Exploration,PC|PS4|Xbox|Nintendo Switch,Facile,15-25,3D Stylisé,Ados,9.3,2019,24.99,Non,Non,Exploration Scientifique,Explorez un univers énigmatique et résolvez les mystères d'un système solaire en déclin.,🚀
14,Dead Cells,Action Roguelike,PC|PS4|Xbox|Nintendo Switch|Mobile,Difficile,30-50,2D Pixel Art,Ados,9.1,2018,26.99,Non,Oui (fragmenté),Roguelike,Combat fluide et exploration en 2D dans ce roguelike avec un gameplay très satisfaisant.,💀
15,A Short Hike,Aventure Détendue,PC|PS4|Xbox|Nintendo Switch|Mobile,Très Facile,2-3,3D Low-Poly,Tous,8.7,2019,7.99,Non,Non,Détendu,Une petite aventure relaxante pour ceux qui veulent se détendre après une journée.,🏔️
16,Celeste,Plateforme,PC|PS4|Xbox|Nintendo Switch|Mobile,Difficile,8-12,2D Pixel Art,Ados,9.2,2018,19.99,Non,Oui,Plateforme Classique,Un jeu de plateforme exigeant avec une histoire émouvante sur le dépassement de soi.,🏔️
17,Portal 2,Puzzle Aventure,PC|PS3|Xbox 360|Nintendo Switch,Moyen,8-10,3D Source Modern,Ados,9.3,2011,19.99,Non,Oui,Puzzle 3D,Résolvez des énigmes complexes avec un portail magique dans ce chef-d'œuvre Valve.,🔫
18,Undertale,RPG Aventure,PC|PS4|Xbox|Nintendo Switch|Mobile,Facile,4-6,2D Pixel Art,Enfants,9.1,2015,14.99,Non,Oui,Aventure RPG,Un projet indie révolutionnaire avec des personnages mémorables et des choix impactants.,💙
19,Genshin Impact,Action RPG Gratuit,PC|PS4|PS5|iOS|Android,Facile,2-4 par session,3D Anime,Ados,8.3,2020,Gratuit (F2P),Oui,Oui,Monde Ouvert,Explorez le monde de Teyvat aux côtés de personnages anime attachants.,🌙
20,Fall Guys,Battle Royale Party,PC|PS4|PS5|Xbox|Nintendo Switch,Facile,3-5 par partie,3D Cartoonesque,Enfants,8.0,2020,Gratuit (F2P),Oui,Non,Party Multiplayer,Des petites créatures colorées s'affrontent dans des mini-jeux chaotiques et amusants.,🎪
